Generation,Brand,Size,Color,Lobes,Weight.g,Strength,Lower.mm,Upper.mm,Range.mm,Weight.oz,Lower.in,Upper.in,Range.in
Old,Wild Country,Helium 2.5,gold,4,117,12,34,55,21,4.13,1.34,2.17,0.83
Old,Wild Country,Helium 3.0,purple,4,145,12,42,67,25,5.11,1.65,2.64,0.98
Old,Wild Country,Helium 3.5,blue,4,171,12,51,83,32,6.03,2.01,3.27,1.26
Old,Wild Country,Helium 4.0,silver,4,208,12,64,101,37,7.34,2.52,3.98,1.46
Current,Wild Country,Tech Friend 5.0,Red,4,339,14,84,138,54,11.96,3.31,5.43,2.13
Current,Wild Country,Tech Friend 6.0,Green,4,533,14,118,194,76,18.8,4.65,7.64,2.99
Current,Wild Country,New Friend 0.5,purple,4,88,12,20.6,34.5,13.9,3.1,0.81,1.36,0.55
Current,Wild Country,New Friend 0.75,Green,4,102,12,25.8,43,17.2,3.6,1.02,1.69,0.68
Current,Wild Country,New Friend 1,red,4,123,12,31.7,53.6,21.9,4.34,1.25,2.11,0.86
Current,Wild Country,New Friend 2,yellow,4,142,12,41.5,69.3,27.8,5.01,1.63,2.73,1.09
Current,Wild Country,New Friend 3,Blue,4,192,12,52.7,88,35.3,6.77,2.07,3.46,1.39
Current,Wild Country,New Friend 4,gray,4,260,12,66.8,112.1,45.3,9.17,2.63,4.41,1.78
Old,Wild Country,Forged Friend 1,yellow,4,88,14,20,24,4,3.1,0.79,0.94,0.16
Old,Wild Country,Forged Friend 1.25,purple,4,94,14,22,28,6,3.32,0.87,1.1,0.24
Old,Wild Country,Forged Friend 1.5,gray,4,94,14,24,30,6,3.32,0.94,1.18,0.24
Old,Wild Country,Forged Friend 1.75,green,4,99,14,25,39,14,3.49,0.98,1.54,0.55
Old,Wild Country,Forged Friend 2,red,4,102,14,30,38,8,3.6,1.18,1.5,0.31
Old,Wild Country,Forged Friend 2.5,yellow,4,116,14,36,46,10,4.09,1.42,1.81,0.39
Old,Wild Country,Forged Friend 3,purple,4,147,14,46,56,10,5.19,1.81,2.2,0.39
Old,Wild Country,Forged Friend 3.5,blue,4,167,14,53,69,16,5.89,2.09,2.72,0.63
Old,Wild Country,Forged Friend 4,green,4,210,14,69,86,17,7.41,2.72,3.39,0.67
Old,Wild Country,Old Tech Friend 00,yellow,4,57,10,11,14,3,2.01,0.43,0.55,0.12
Old,Wild Country,Old Tech Friend 0,blue,4,85,14,13,17,4,3,0.51,0.67,0.16
Old,Wild Country,Old Tech Friend .5,red,4,91,14,18,21,3,3.21,0.71,0.83,0.12
Old,Wild Country,Old Tech Friend 1,yellow,4,91,14,20,24,4,3.21,0.79,0.94,0.16
Old,Wild Country,Old Tech Friend 1.25,purple,4,94,14,22,28,6,3.32,0.87,1.1,0.24
Old,Wild Country,Old Tech Friend 1.5,gray,4,94,14,24,30,6,3.32,0.94,1.18,0.24
Old,Wild Country,Old Tech Friend 1.75,green,4,96,14,25,36,11,3.39,0.98,1.42,0.43
Old,Wild Country,Old Tech Friend 2,red,4,108,14,30,38,8,3.81,1.18,1.5,0.31
Old,Wild Country,Old Tech Friend 2.5,yellow,4,130,14,36,46,10,4.59,1.42,1.81,0.39
Old,Wild Country,Old Tech Friend 3,purple,4,153,14,46,56,10,5.4,1.81,2.2,0.39
Old,Wild Country,Old Tech Friend 3.5,blue,4,173,14,53,69,16,6.1,2.09,2.72,0.63
Old,Wild Country,Old Tech Friend 4,green,4,218,14,69,86,17,7.69,2.72,3.39,0.67
Old,Wild Country,Old Tech Friend 5,red,4,332,14,89,117,28,11.71,3.5,4.61,1.1
Old,Wild Country,Old Tech Friend 6,green,4,507,14,124,163,39,17.88,4.88,6.42,1.54
Old,Wired Bliss,TCU .4,Blue,3,62.37,10,10.41,14.99,4.58,2.2,0.41,0.59,0.18
Old,Wired Bliss,TCU .5,yellow,3,68.04,10,12.7,18.54,5.84,2.4,0.5,0.73,0.23
Old,Wired Bliss,TCU .75,Red,3,73.71,12,15.24,22.61,7.37,2.6,0.6,0.89,0.29
Old,Wired Bliss,TCU 1,purple,3,79.38,12,18.8,27.43,8.63,2.8,0.74,1.08,0.34
Old,Wired Bliss,TCU 2,Silver,3,85.05,12,23.11,33.53,10.42,3,0.91,1.32,0.41
Old,Wired Bliss,Quad 1,Purple,4,87.88,12,18.8,27.43,8.63,3.1,0.74,1.08,0.34
Old,Wired Bliss,Quad 1.5,SIlver,4,96.39,12,23.11,33.53,10.42,3.4,0.91,1.32,0.41
Old,Wired Bliss,Quad 2,black,4,104.89,12,28.7,42.42,13.72,3.7,1.13,1.67,0.54
Old,Wired Bliss,Quad 2.5,Green,4,121.9,12,33.27,51.56,18.29,4.3,1.31,2.03,0.72
Old,Wired Bliss,Quad 3,purple,4,136.08,12,41.4,62.48,21.08,4.8,1.63,2.46,0.83
Old,Wired Bliss,Quad 3.5,turquoise,4,170.1,12,50.55,76.45,25.9,6,1.99,3.01,1.02
Old,Wired Bliss,Quad 4,orange,4,201.28,12,58.67,93.73,35.06,7.1,2.31,3.69,1.38
