id,name,difficulty,type,views,share_date
https://www.mountainproject.com/route/113952260/lay-out,Lay Out,5.8+ YDS,"Sport, TR, 30 ft (9 m)",758 total · 19/month,2017-12-24
https://www.mountainproject.com/route/117023708/apprentice,Apprentice,5.6 YDS,"Sport, 35 ft (11 m)",696 total · 30/month,2019-05-26
https://www.mountainproject.com/route/114010573/grovt-route,Grovt Route,5.8 YDS,"TR, 50 ft (15 m)",519 total · 13/month,2018-01-14
https://www.mountainproject.com/route/113934308/for-the-fun-of-it,For the Fun of It,5.9 YDS,"Sport, TR, 50 ft (15 m)","1,242 total · 31/month",2017-12-16
https://www.mountainproject.com/route/114027493/dancing-diagonal,Dancing Diagonal,5.10- YDS,"TR, 45 ft (14 m)",599 total · 15/month,2018-01-20
https://www.mountainproject.com/route/113938841/knob-job,Knob Job,5.8 YDS,"TR, 40 ft (12 m)",545 total · 13/month,2017-12-18
https://www.mountainproject.com/route/118889884/dungeon-orgy-knob-job-variation,Dungeon Orgy (Knob Job Variation),5.8 YDS,"Trad, 50 ft (15 m)",242 total · 22/month,2020-05-17
https://www.mountainproject.com/route/114062874/meanderer,Meanderer,5.9 YDS,"Sport, TR, 55 ft (17 m)",718 total · 18/month,2018-02-03
https://www.mountainproject.com/route/113934289/chicken-delight,Chicken Delight,5.7+ YDS,"Sport, TR, 25 ft (8 m)",746 total · 18/month,2017-12-16
https://www.mountainproject.com/route/114192458/mahogany-blues,Mahogany Blues,5.7 YDS,"TR, 25 ft (8 m)",618 total · 17/month,2018-03-26
https://www.mountainproject.com/route/113929273/mahogany-rush,Mahogany Rush,5.10 YDS,"Trad, 30 ft (9 m)",708 total · 17/month,2017-12-13
https://www.mountainproject.com/route/113929296/adam-bomb,Adam Bomb,5.12a YDS,"Trad, TR, 30 ft (9 m)",958 total · 24/month,2017-12-13
https://www.mountainproject.com/route/113929354/start,Start,5.8 YDS,"Trad, 35 ft (11 m)",539 total · 13/month,2017-12-13
https://www.mountainproject.com/route/113929311/open-book,Open Book,5.8- YDS,"Sport, 35 ft (11 m)",701 total · 17/month,2017-12-13
https://www.mountainproject.com/route/113929399/green-chile-jam,Green Chile Jam,5.10- YDS,"TR, 40 ft (12 m)",683 total · 17/month,2017-12-13
https://www.mountainproject.com/route/113929414/pop-goes-the-climber,Pop Goes the Climber,5.10a/b YDS,"Sport, TR, 35 ft (11 m)","1,009 total · 25/month",2017-12-13
https://www.mountainproject.com/route/113934272/tally-ho,Tally Ho,5.7 YDS,"Trad, 30 ft (9 m)",573 total · 14/month,2017-12-16
https://www.mountainproject.com/route/113938822/dilly-dally,Dilly Dally,5.6 YDS,"Trad, 25 ft (8 m)",585 total · 14/month,2017-12-18
https://www.mountainproject.com/route/107490782/left,Left,V4- YDS,"Boulder, 15 ft (5 m)",558 total · 5/month,2012-02-27
https://www.mountainproject.com/route/107490791/middle,Middle,V7-8 YDS,"Boulder, 15 ft (5 m)",482 total · 4/month,2012-02-27
https://www.mountainproject.com/route/107490804/right,Right,V5-6 YDS,"Boulder, 15 ft (5 m)",644 total · 6/month,2012-02-27
https://www.mountainproject.com/route/107490819/left-to-right,Left to Right,V9 YDS,Boulder,645 total · 6/month,2012-02-27
https://www.mountainproject.com/route/107490835/the-prow,The Prow,V7 YDS,"Boulder, 17 ft (5 m)",522 total · 5/month,2012-02-27
https://www.mountainproject.com/route/117406933/atp-crack,ATP crack,V1 YDS,"Boulder, 8 ft (2 m)",323 total · 15/month,2019-07-25
https://www.mountainproject.com/route/117406939/creatine,Creatine,V1+ YDS,"Boulder, 8 ft (2 m)",297 total · 14/month,2019-07-25
https://www.mountainproject.com/route/118044481/west-arete,West Arete,V0 YDS,"Boulder, 12 ft (4 m)",192 total · 11/month,2019-11-14
https://www.mountainproject.com/route/118044500/black-ball-crack,Black Ball Crack,V0+ YDS,"Boulder, 12 ft (4 m)",202 total · 12/month,2019-11-14
https://www.mountainproject.com/route/118044512/black-beetle,Black Beetle,V0- YDS,"Boulder, 12 ft (4 m)",182 total · 11/month,2019-11-14
https://www.mountainproject.com/route/118044534/beetle-crack,Beetle Crack,V0- YDS,"Boulder, 12 ft (4 m)",188 total · 11/month,2019-11-14
https://www.mountainproject.com/route/107908986/sliced-tips,Sliced Tips,V1+ YDS,"Boulder, 10 ft (3 m)","1,072 total · 11/month",2012-11-27
https://www.mountainproject.com/route/108007198/knob-nirvana,Knob nirvana,V0+ YDS PG13,"Boulder, 11 ft (3 m)",509 total · 5/month,2013-02-18
https://www.mountainproject.com/route/108297274/shade-line,Shade line,V0 YDS,"Boulder, 13 ft (4 m)",798 total · 9/month,2013-08-19
https://www.mountainproject.com/route/109304346/grated-shin,Grated shin,V1 YDS,"Boulder, 10 ft (3 m)",587 total · 7/month,2014-08-02
https://www.mountainproject.com/route/119990557/4-skin,4-Skin,V4- YDS,"Boulder, 8 ft (2 m)",139 total · 30/month,2020-11-28
https://www.mountainproject.com/route/108013482/green-hueco-chile,Green Hueco Chile,V2 YDS,"Boulder, 13 ft (4 m)",605 total · 6/month,2013-02-23
